generation,avg_pre_learn_reward,avg_post_learn_reward,avg_gain,avg_agreement,avg_entropy
0,0.0,0.0,0.0,0.3528282828282828,1.0986122765305901
1,0.0,0.0,0.0,0.2419696969696969,0.7407943615119675
2,0.0,0.04770408272743225,0.04770408272743225,0.3183838383838383,0.551368752190349
3,0.04793367385864258,0.04793367385864258,0.0,0.5183838383838384,0.526271460473547
4,0.04793367385864258,0.09426020383834839,0.04632652997970581,0.44050505050505046,0.5723311978036352
5,0.0,0.045408162474632266,0.045408162474632266,0.45636363636363636,0.4921310013278043
6,0.09494897723197937,0.13943877518177034,0.04448979794979095,0.26601010101010103,0.21001402872883063
7,0.1401275485754013,0.22933673560619355,0.08920918703079224,0.5672222222222222,0.0907272616192111
8,0.41854591965675353,0.46533162891864777,0.04678570926189422,0.7624242424242424,0.10458517466136694
9,0.5510969430208206,0.7416836738586425,0.19058673083782196,0.7958585858585859,0.11525570947733343
10,0.47015305459499357,0.6478826522827148,0.17772959768772126,0.7860606060606061,0.14363823930823233
11,0.5132653057575226,0.6059183686971664,0.09265306293964386,0.8503535353535353,0.15481236391850167
12,0.3793367356061935,0.5192346900701523,0.13989795446395875,0.8430808080808079,0.24909011560635408
13,0.7091326475143432,0.7602806061506271,0.05114795863628387,0.8341414141414141,0.25599426392672486
14,0.7049999952316284,0.6116581618785858,-0.09334183335304261,0.8237878787878786,0.13636859901508092
15,0.6059183657169342,0.709821417927742,0.1039030522108078,0.8683333333333334,0.15893226984002193
16,0.56303571164608,0.6637244820594788,0.10068877041339874,0.8043939393939393,0.16116783791406733
17,0.6533928543329239,0.5701530635356903,-0.08323979079723358,0.7924242424242423,0.22976178483056992
18,0.7600510090589523,0.6162499904632568,-0.1438010185956955,0.8738888888888889,0.15183372720271943
19,0.47451530694961547,0.760051017999649,0.28553571105003356,0.8408080808080808,0.10256303807175549
20,0.7160204082727433,0.7137244820594788,-0.0022959262132644653,0.7936363636363636,0.10607426361564883
