generation,individual,pre_reward,post_reward,reward_gain,learning_steps,before_model,after_model
2,6,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_6_before.zip,Data/tmpModels/gen_2_ind_6_after.zip
2,7,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_7_before.zip,Data/tmpModels/gen_2_ind_7_after.zip
2,8,0.9586734771728516,0.0,-0.9586734771728516,24166,Data/tmpModels/gen_2_ind_8_before.zip,Data/tmpModels/gen_2_ind_8_after.zip
2,9,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_9_before.zip,Data/tmpModels/gen_2_ind_9_after.zip
2,10,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_10_before.zip,Data/tmpModels/gen_2_ind_10_after.zip
2,11,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_11_before.zip,Data/tmpModels/gen_2_ind_11_after.zip
2,12,0.0,0.9448979496955872,0.9448979496955872,24166,Data/tmpModels/gen_2_ind_12_before.zip,Data/tmpModels/gen_2_ind_12_after.zip
2,13,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_13_before.zip,Data/tmpModels/gen_2_ind_13_after.zip
2,14,0.0,0.9448979496955872,0.9448979496955872,24166,Data/tmpModels/gen_2_ind_14_before.zip,Data/tmpModels/gen_2_ind_14_after.zip
2,15,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_15_before.zip,Data/tmpModels/gen_2_ind_15_after.zip
2,16,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_16_before.zip,Data/tmpModels/gen_2_ind_16_after.zip
2,17,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_17_before.zip,Data/tmpModels/gen_2_ind_17_after.zip
2,18,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_18_before.zip,Data/tmpModels/gen_2_ind_18_after.zip
2,19,0.0,0.0,0.0,24166,Data/tmpModels/gen_2_ind_19_before.zip,Data/tmpModels/gen_2_ind_19_after.zip
3,0,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_0_before.zip,Data/tmpModels/gen_3_ind_0_after.zip
3,1,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_1_before.zip,Data/tmpModels/gen_3_ind_1_after.zip
3,2,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_2_before.zip,Data/tmpModels/gen_3_ind_2_after.zip
3,3,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_3_before.zip,Data/tmpModels/gen_3_ind_3_after.zip
3,4,0.0,0.9448979496955872,0.9448979496955872,23750,Data/tmpModels/gen_3_ind_4_before.zip,Data/tmpModels/gen_3_ind_4_after.zip
3,5,0.9448979496955872,0.0,-0.9448979496955872,23750,Data/tmpModels/gen_3_ind_5_before.zip,Data/tmpModels/gen_3_ind_5_after.zip
3,6,0.9448979496955872,0.0,-0.9448979496955872,23750,Data/tmpModels/gen_3_ind_6_before.zip,Data/tmpModels/gen_3_ind_6_after.zip
3,7,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_7_before.zip,Data/tmpModels/gen_3_ind_7_after.zip
3,8,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_8_before.zip,Data/tmpModels/gen_3_ind_8_after.zip
3,9,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_9_before.zip,Data/tmpModels/gen_3_ind_9_after.zip
3,10,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_10_before.zip,Data/tmpModels/gen_3_ind_10_after.zip
3,11,0.0,0.9265305995941162,0.9265305995941162,23750,Data/tmpModels/gen_3_ind_11_before.zip,Data/tmpModels/gen_3_ind_11_after.zip
3,12,0.9448979496955872,0.0,-0.9448979496955872,23750,Data/tmpModels/gen_3_ind_12_before.zip,Data/tmpModels/gen_3_ind_12_after.zip
3,13,0.9311224222183228,0.0,-0.9311224222183228,23750,Data/tmpModels/gen_3_ind_13_before.zip,Data/tmpModels/gen_3_ind_13_after.zip
3,14,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_14_before.zip,Data/tmpModels/gen_3_ind_14_after.zip
3,15,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_15_before.zip,Data/tmpModels/gen_3_ind_15_after.zip
3,16,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_16_before.zip,Data/tmpModels/gen_3_ind_16_after.zip
3,17,0.0,0.9586734771728516,0.9586734771728516,23750,Data/tmpModels/gen_3_ind_17_before.zip,Data/tmpModels/gen_3_ind_17_after.zip
3,18,0.9448979496955872,0.0,-0.9448979496955872,23750,Data/tmpModels/gen_3_ind_18_before.zip,Data/tmpModels/gen_3_ind_18_after.zip
3,19,0.0,0.0,0.0,23750,Data/tmpModels/gen_3_ind_19_before.zip,Data/tmpModels/gen_3_ind_19_after.zip
4,0,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_0_before.zip,Data/tmpModels/gen_4_ind_0_after.zip
4,1,0.0,0.9448979496955872,0.9448979496955872,23333,Data/tmpModels/gen_4_ind_1_before.zip,Data/tmpModels/gen_4_ind_1_after.zip
4,2,0.954081654548645,0.0,-0.954081654548645,23333,Data/tmpModels/gen_4_ind_2_before.zip,Data/tmpModels/gen_4_ind_2_after.zip
4,3,0.9357143044471741,0.9219387769699097,-0.013775527477264404,23333,Data/tmpModels/gen_4_ind_3_before.zip,Data/tmpModels/gen_4_ind_3_after.zip
4,4,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_4_before.zip,Data/tmpModels/gen_4_ind_4_after.zip
4,5,0.9586734771728516,0.0,-0.9586734771728516,23333,Data/tmpModels/gen_4_ind_5_before.zip,Data/tmpModels/gen_4_ind_5_after.zip
4,6,0.9311224222183228,0.9357143044471741,0.004591882228851318,23333,Data/tmpModels/gen_4_ind_6_before.zip,Data/tmpModels/gen_4_ind_6_after.zip
4,7,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_7_before.zip,Data/tmpModels/gen_4_ind_7_after.zip
4,8,0.0,0.9448979496955872,0.9448979496955872,23333,Data/tmpModels/gen_4_ind_8_before.zip,Data/tmpModels/gen_4_ind_8_after.zip
4,9,0.9311224222183228,0.0,-0.9311224222183228,23333,Data/tmpModels/gen_4_ind_9_before.zip,Data/tmpModels/gen_4_ind_9_after.zip
4,10,0.9311224222183228,0.0,-0.9311224222183228,23333,Data/tmpModels/gen_4_ind_10_before.zip,Data/tmpModels/gen_4_ind_10_after.zip
4,11,0.9586734771728516,0.0,-0.9586734771728516,23333,Data/tmpModels/gen_4_ind_11_before.zip,Data/tmpModels/gen_4_ind_11_after.zip
4,12,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_12_before.zip,Data/tmpModels/gen_4_ind_12_after.zip
4,13,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_13_before.zip,Data/tmpModels/gen_4_ind_13_after.zip
4,14,0.9265305995941162,0.0,-0.9265305995941162,23333,Data/tmpModels/gen_4_ind_14_before.zip,Data/tmpModels/gen_4_ind_14_after.zip
4,15,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_15_before.zip,Data/tmpModels/gen_4_ind_15_after.zip
4,16,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_16_before.zip,Data/tmpModels/gen_4_ind_16_after.zip
4,17,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_17_before.zip,Data/tmpModels/gen_4_ind_17_after.zip
4,18,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_18_before.zip,Data/tmpModels/gen_4_ind_18_after.zip
4,19,0.0,0.0,0.0,23333,Data/tmpModels/gen_4_ind_19_before.zip,Data/tmpModels/gen_4_ind_19_after.zip
5,0,0.9586734771728516,0.0,-0.9586734771728516,22916,Data/tmpModels/gen_5_ind_0_before.zip,Data/tmpModels/gen_5_ind_0_after.zip
5,1,0.9448979496955872,0.9219387769699097,-0.02295917272567749,22916,Data/tmpModels/gen_5_ind_1_before.zip,Data/tmpModels/gen_5_ind_1_after.zip
5,2,0.0,0.0,0.0,22916,Data/tmpModels/gen_5_ind_2_before.zip,Data/tmpModels/gen_5_ind_2_after.zip
5,3,0.0,0.0,0.0,22916,Data/tmpModels/gen_5_ind_3_before.zip,Data/tmpModels/gen_5_ind_3_after.zip
5,4,0.0,0.0,0.0,22916,Data/tmpModels/gen_5_ind_4_before.zip,Data/tmpModels/gen_5_ind_4_after.zip
5,5,0.0,0.9219387769699097,0.9219387769699097,22916,Data/tmpModels/gen_5_ind_5_before.zip,Data/tmpModels/gen_5_ind_5_after.zip
5,6,0.9586734771728516,0.0,-0.9586734771728516,22916,Data/tmpModels/gen_5_ind_6_before.zip,Data/tmpModels/gen_5_ind_6_after.zip
5,7,0.9219387769699097,0.0,-0.9219387769699097,22916,Data/tmpModels/gen_5_ind_7_before.zip,Data/tmpModels/gen_5_ind_7_after.zip
5,8,0.0,0.0,0.0,22916,Data/tmpModels/gen_5_ind_8_before.zip,Data/tmpModels/gen_5_ind_8_after.zip
5,9,0.9311224222183228,0.9448979496955872,0.013775527477264404,22916,Data/tmpModels/gen_5_ind_9_before.zip,Data/tmpModels/gen_5_ind_9_after.zip
5,10,0.0,0.9448979496955872,0.9448979496955872,22916,Data/tmpModels/gen_5_ind_10_before.zip,Data/tmpModels/gen_5_ind_10_after.zip
5,11,0.0,0.9586734771728516,0.9586734771728516,22916,Data/tmpModels/gen_5_ind_11_before.zip,Data/tmpModels/gen_5_ind_11_after.zip
5,12,0.9357143044471741,0.9357143044471741,0.0,22916,Data/tmpModels/gen_5_ind_12_before.zip,Data/tmpModels/gen_5_ind_12_after.zip
5,13,0.0,0.9219387769699097,0.9219387769699097,22916,Data/tmpModels/gen_5_ind_13_before.zip,Data/tmpModels/gen_5_ind_13_after.zip
5,14,0.0,0.0,0.0,22916,Data/tmpModels/gen_5_ind_14_before.zip,Data/tmpModels/gen_5_ind_14_after.zip
5,15,0.0,0.0,0.0,22916,Data/tmpModels/gen_5_ind_15_before.zip,Data/tmpModels/gen_5_ind_15_after.zip
5,16,0.0,0.0,0.0,22916,Data/tmpModels/gen_5_ind_16_before.zip,Data/tmpModels/gen_5_ind_16_after.zip
5,17,0.9448979496955872,0.8943877816200256,-0.05051016807556152,22916,Data/tmpModels/gen_5_ind_17_before.zip,Data/tmpModels/gen_5_ind_17_after.zip
5,18,0.0,0.0,0.0,22916,Data/tmpModels/gen_5_ind_18_before.zip,Data/tmpModels/gen_5_ind_18_after.zip
5,19,0.0,0.9586734771728516,0.9586734771728516,22916,Data/tmpModels/gen_5_ind_19_before.zip,Data/tmpModels/gen_5_ind_19_after.zip
6,0,0.9219387769699097,0.0,-0.9219387769699097,22500,Data/tmpModels/gen_6_ind_0_before.zip,Data/tmpModels/gen_6_ind_0_after.zip
6,1,0.9219387769699097,0.9403061270713806,0.018367350101470947,22500,Data/tmpModels/gen_6_ind_1_before.zip,Data/tmpModels/gen_6_ind_1_after.zip
6,2,0.9448979496955872,0.0,-0.9448979496955872,22500,Data/tmpModels/gen_6_ind_2_before.zip,Data/tmpModels/gen_6_ind_2_after.zip
6,3,0.0,0.0,0.0,22500,Data/tmpModels/gen_6_ind_3_before.zip,Data/tmpModels/gen_6_ind_3_after.zip
6,4,0.9448979496955872,0.9311224222183228,-0.013775527477264404,22500,Data/tmpModels/gen_6_ind_4_before.zip,Data/tmpModels/gen_6_ind_4_after.zip
6,5,0.0,0.9586734771728516,0.9586734771728516,22500,Data/tmpModels/gen_6_ind_5_before.zip,Data/tmpModels/gen_6_ind_5_after.zip
6,6,0.0,0.9448979496955872,0.9448979496955872,22500,Data/tmpModels/gen_6_ind_6_before.zip,Data/tmpModels/gen_6_ind_6_after.zip
6,7,0.0,0.9586734771728516,0.9586734771728516,22500,Data/tmpModels/gen_6_ind_7_before.zip,Data/tmpModels/gen_6_ind_7_after.zip
6,8,0.9265305995941162,0.9311224222183228,0.004591822624206543,22500,Data/tmpModels/gen_6_ind_8_before.zip,Data/tmpModels/gen_6_ind_8_after.zip
6,9,0.9219387769699097,0.0,-0.9219387769699097,22500,Data/tmpModels/gen_6_ind_9_before.zip,Data/tmpModels/gen_6_ind_9_after.zip
6,10,0.9311224222183228,0.9311224222183228,0.0,22500,Data/tmpModels/gen_6_ind_10_before.zip,Data/tmpModels/gen_6_ind_10_after.zip
6,11,0.0,0.9219387769699097,0.9219387769699097,22500,Data/tmpModels/gen_6_ind_11_before.zip,Data/tmpModels/gen_6_ind_11_after.zip
6,12,0.0,0.0,0.0,22500,Data/tmpModels/gen_6_ind_12_before.zip,Data/tmpModels/gen_6_ind_12_after.zip
6,13,0.9586734771728516,0.9586734771728516,0.0,22500,Data/tmpModels/gen_6_ind_13_before.zip,Data/tmpModels/gen_6_ind_13_after.zip
6,14,0.9586734771728516,0.0,-0.9586734771728516,22500,Data/tmpModels/gen_6_ind_14_before.zip,Data/tmpModels/gen_6_ind_14_after.zip
6,15,0.0,0.9448979496955872,0.9448979496955872,22500,Data/tmpModels/gen_6_ind_15_before.zip,Data/tmpModels/gen_6_ind_15_after.zip
6,16,0.0,0.9219387769699097,0.9219387769699097,22500,Data/tmpModels/gen_6_ind_16_before.zip,Data/tmpModels/gen_6_ind_16_after.zip
6,17,0.0,0.9265305995941162,0.9265305995941162,22500,Data/tmpModels/gen_6_ind_17_before.zip,Data/tmpModels/gen_6_ind_17_after.zip
6,18,0.9586734771728516,0.9265305995941162,-0.03214287757873535,22500,Data/tmpModels/gen_6_ind_18_before.zip,Data/tmpModels/gen_6_ind_18_after.zip
6,19,0.0,0.0,0.0,22500,Data/tmpModels/gen_6_ind_19_before.zip,Data/tmpModels/gen_6_ind_19_after.zip
7,0,0.9127551317214966,0.9403061270713806,0.027550995349884033,22083,Data/tmpModels/gen_7_ind_0_before.zip,Data/tmpModels/gen_7_ind_0_after.zip
7,1,0.9448979496955872,0.9127551317214966,-0.032142817974090576,22083,Data/tmpModels/gen_7_ind_1_before.zip,Data/tmpModels/gen_7_ind_1_after.zip
7,2,0.0,0.0,0.0,22083,Data/tmpModels/gen_7_ind_2_before.zip,Data/tmpModels/gen_7_ind_2_after.zip
7,3,0.9311224222183228,0.0,-0.9311224222183228,22083,Data/tmpModels/gen_7_ind_3_before.zip,Data/tmpModels/gen_7_ind_3_after.zip
7,4,0.9448979496955872,0.0,-0.9448979496955872,22083,Data/tmpModels/gen_7_ind_4_before.zip,Data/tmpModels/gen_7_ind_4_after.zip
7,5,0.9586734771728516,0.9311224222183228,-0.02755105495452881,22083,Data/tmpModels/gen_7_ind_5_before.zip,Data/tmpModels/gen_7_ind_5_after.zip
7,6,0.9403061270713806,0.0,-0.9403061270713806,22083,Data/tmpModels/gen_7_ind_6_before.zip,Data/tmpModels/gen_7_ind_6_after.zip
7,7,0.9127551317214966,0.0,-0.9127551317214966,22083,Data/tmpModels/gen_7_ind_7_before.zip,Data/tmpModels/gen_7_ind_7_after.zip
7,8,0.9219387769699097,0.9494897723197937,0.027550995349884033,22083,Data/tmpModels/gen_7_ind_8_before.zip,Data/tmpModels/gen_7_ind_8_after.zip
7,9,0.9219387769699097,0.0,-0.9219387769699097,22083,Data/tmpModels/gen_7_ind_9_before.zip,Data/tmpModels/gen_7_ind_9_after.zip
7,10,0.0,0.9311224222183228,0.9311224222183228,22083,Data/tmpModels/gen_7_ind_10_before.zip,Data/tmpModels/gen_7_ind_10_after.zip
7,11,0.9448979496955872,0.9448979496955872,0.0,22083,Data/tmpModels/gen_7_ind_11_before.zip,Data/tmpModels/gen_7_ind_11_after.zip
7,12,0.9357143044471741,0.9311224222183228,-0.004591882228851318,22083,Data/tmpModels/gen_7_ind_12_before.zip,Data/tmpModels/gen_7_ind_12_after.zip
7,13,0.0,0.9127551317214966,0.9127551317214966,22083,Data/tmpModels/gen_7_ind_13_before.zip,Data/tmpModels/gen_7_ind_13_after.zip
7,14,0.0,0.9311224222183228,0.9311224222183228,22083,Data/tmpModels/gen_7_ind_14_before.zip,Data/tmpModels/gen_7_ind_14_after.zip
7,15,0.9448979496955872,0.9586734771728516,0.013775527477264404,22083,Data/tmpModels/gen_7_ind_15_before.zip,Data/tmpModels/gen_7_ind_15_after.zip
7,16,0.9357143044471741,0.9586734771728516,0.02295917272567749,22083,Data/tmpModels/gen_7_ind_16_before.zip,Data/tmpModels/gen_7_ind_16_after.zip
7,17,0.9586734771728516,0.0,-0.9586734771728516,22083,Data/tmpModels/gen_7_ind_17_before.zip,Data/tmpModels/gen_7_ind_17_after.zip
7,18,0.9219387769699097,0.9586734771728516,0.036734700202941895,22083,Data/tmpModels/gen_7_ind_18_before.zip,Data/tmpModels/gen_7_ind_18_after.zip
7,19,0.0,0.9494897723197937,0.9494897723197937,22083,Data/tmpModels/gen_7_ind_19_before.zip,Data/tmpModels/gen_7_ind_19_after.zip
8,0,0.0,0.9311224222183228,0.9311224222183228,21666,Data/tmpModels/gen_8_ind_0_before.zip,Data/tmpModels/gen_8_ind_0_after.zip
8,1,0.9035714268684387,0.9586734771728516,0.05510205030441284,21666,Data/tmpModels/gen_8_ind_1_before.zip,Data/tmpModels/gen_8_ind_1_after.zip
8,2,0.0,0.0,0.0,21666,Data/tmpModels/gen_8_ind_2_before.zip,Data/tmpModels/gen_8_ind_2_after.zip
8,3,0.9311224222183228,0.9448979496955872,0.013775527477264404,21666,Data/tmpModels/gen_8_ind_3_before.zip,Data/tmpModels/gen_8_ind_3_after.zip
8,4,0.0,0.9448979496955872,0.9448979496955872,21666,Data/tmpModels/gen_8_ind_4_before.zip,Data/tmpModels/gen_8_ind_4_after.zip
8,5,0.9357143044471741,0.9586734771728516,0.02295917272567749,21666,Data/tmpModels/gen_8_ind_5_before.zip,Data/tmpModels/gen_8_ind_5_after.zip
8,6,0.9586734771728516,0.9448979496955872,-0.013775527477264404,21666,Data/tmpModels/gen_8_ind_6_before.zip,Data/tmpModels/gen_8_ind_6_after.zip
8,7,0.9586734771728516,0.9448979496955872,-0.013775527477264404,21666,Data/tmpModels/gen_8_ind_7_before.zip,Data/tmpModels/gen_8_ind_7_after.zip
8,8,0.9219387769699097,0.9357143044471741,0.013775527477264404,21666,Data/tmpModels/gen_8_ind_8_before.zip,Data/tmpModels/gen_8_ind_8_after.zip
8,9,0.0,0.9494897723197937,0.9494897723197937,21666,Data/tmpModels/gen_8_ind_9_before.zip,Data/tmpModels/gen_8_ind_9_after.zip
8,10,0.9311224222183228,0.0,-0.9311224222183228,21666,Data/tmpModels/gen_8_ind_10_before.zip,Data/tmpModels/gen_8_ind_10_after.zip
8,11,0.9357143044471741,0.0,-0.9357143044471741,21666,Data/tmpModels/gen_8_ind_11_before.zip,Data/tmpModels/gen_8_ind_11_after.zip
8,12,0.9494897723197937,0.9448979496955872,-0.004591822624206543,21666,Data/tmpModels/gen_8_ind_12_before.zip,Data/tmpModels/gen_8_ind_12_after.zip
8,13,0.9448979496955872,0.0,-0.9448979496955872,21666,Data/tmpModels/gen_8_ind_13_before.zip,Data/tmpModels/gen_8_ind_13_after.zip
8,14,0.0,0.9494897723197937,0.9494897723197937,21666,Data/tmpModels/gen_8_ind_14_before.zip,Data/tmpModels/gen_8_ind_14_after.zip
8,15,0.9448979496955872,0.9403061270713806,-0.004591822624206543,21666,Data/tmpModels/gen_8_ind_15_before.zip,Data/tmpModels/gen_8_ind_15_after.zip
8,16,0.9311224222183228,0.9311224222183228,0.0,21666,Data/tmpModels/gen_8_ind_16_before.zip,Data/tmpModels/gen_8_ind_16_after.zip
8,17,0.9494897723197937,0.9035714268684387,-0.04591834545135498,21666,Data/tmpModels/gen_8_ind_17_before.zip,Data/tmpModels/gen_8_ind_17_after.zip
8,18,0.0,0.9494897723197937,0.9494897723197937,21666,Data/tmpModels/gen_8_ind_18_before.zip,Data/tmpModels/gen_8_ind_18_after.zip
8,19,0.0,0.0,0.0,21666,Data/tmpModels/gen_8_ind_19_before.zip,Data/tmpModels/gen_8_ind_19_after.zip
9,0,0.9494897723197937,0.9494897723197937,0.0,21250,Data/tmpModels/gen_9_ind_0_before.zip,Data/tmpModels/gen_9_ind_0_after.zip
9,1,0.9586734771728516,0.9586734771728516,0.0,21250,Data/tmpModels/gen_9_ind_1_before.zip,Data/tmpModels/gen_9_ind_1_after.zip
9,2,0.0,0.9448979496955872,0.9448979496955872,21250,Data/tmpModels/gen_9_ind_2_before.zip,Data/tmpModels/gen_9_ind_2_after.zip
9,3,0.9586734771728516,0.9448979496955872,-0.013775527477264404,21250,Data/tmpModels/gen_9_ind_3_before.zip,Data/tmpModels/gen_9_ind_3_after.zip
9,4,0.9448979496955872,0.9403061270713806,-0.004591822624206543,21250,Data/tmpModels/gen_9_ind_4_before.zip,Data/tmpModels/gen_9_ind_4_after.zip
