group,action,n_events,n_assimilated,rate,marginal_freq
early,1,73,5,0.0684931506849315,0.30158730158730157
early,2,25,22,0.88,0.5412698412698412
early,0,35,0,0.0,0.15714285714285714
late,2,25,12,0.48,0.5412698412698412
late,1,126,34,0.2698412698412698,0.30158730158730157
late,0,43,15,0.3488372093023256,0.15714285714285714
